Vert_Group,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,N,N,N,N,N,N,Y,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,9,3.9,106.1445555,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,N,N,N,N,N,N,N,Y,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,10.71,3.9,115.152968,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1993,1993,1993,Breeding,null,null,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,10.71,3.24,80.03953546,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,10.9341,5,171.1003826,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1993,1993,1993,Breeding,null,null,Y,Y,N,N,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,11.04,3.13,56.70289855,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1993,1993,1993,Breeding,null,null,Y,N,N,Y,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,11.54,3.54,101.7404832,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Nonbreeding,null,null,Y,N,N,N,Y,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,12.12,4.41,81.36187938,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Nonbreeding,null,null,Y,N,N,N,N,N,Y,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,15.27,3.86,35.74894794,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Meifong, Nantou County, central Taiwan",null,null,24.0833333,121.1666667,Reported,2100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,N,N,N,Y,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,16.09,4.78,98.52993473,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Nonbreeding,null,null,Y,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,17.24,2.88,44.19816575,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1993,1993,1993,Breeding,null,null,Y,Y,N,N,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,19.27,2.99,49.06699639,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Breeding,null,null,Y,N,Y,N,N,N,N,N,N,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,19.53,5.17,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Nonbreeding,null,null,Y,N,N,N,N,N,N,N,Y,N,N,N,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,22.01,2.77,21.79818599,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
Amphibian,Bufo,bankorensis,Taiwan common toad,"Wushe, Nantou County, central Taiwan",null,null,23.5,121.1333333,Reported,1100,1992,1992,1992,Breeding,null,null,Y,N,N,N,N,N,N,N,N,N,N,Y,N,null,null,Captured by hand,"Active, Killed",null,null,null,null,null,RIA,anti-testosterone-3-CMO-BSA serum,null,null,testosterone,25.05,3.75,42.34172342,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Data expressed as ""androgen"". Possibility of some DHT in the plasma.",Yu,461
